thread,ext4,f2fs,ufs,sys
1,0.078691455524,0.051142523986,0.071884198724,0.352548534181
2,0.146934685328,0.08342082091900001,0.10256466873299999,0.583026164919
4,0.283671747819,0.119331101444,0.115263148763,1.046502501431
8,0.541297625733,0.1603370204,0.118750460778,1.817850152340
16,0.968893522084,0.18521243113400002,0.12330178357100001,2.769098305153
24,1.2303283105460001,0.16444530210199998,0.12105046265899999,2.688354663678
32,1.3787228647749998,0.16194912995,0.12161098561400001,2.908076570514
48,1.4397537841060002,0.16027626147500001,0.123787909965,3.393085410322
56,1.483376149737,0.161324506821,0.10610469291699999,3.476836439532
64,1.2356155242570002,0.159905898796,0.10986516565599999,3.503655047549
