thread,ext4,f2fs,ufs,sys
1,0.970626170626,1.270164162098,0.30476229523799997,6.486877994751
2,1.929068676632,2.5415922084969997,0.457674781208,12.967479194310
4,3.915858338834,5.1319761926459995,0.472440160632,26.204453742206
8,7.777782411097999,10.171120326207001,0.481902450673,51.501152646657
16,15.533552471070001,20.277678452902002,0.448139980044,103.765761560590
24,23.471786154624997,30.509595524378003,0.448040904287,155.778155715300
32,31.129669921045,40.449107666501,0.448445909137,203.203049931208
48,46.477209589814,61.451933116216,0.452324093305,312.665494883729
56,54.583377963964,70.555340733204,0.450946665133,357.867169441073
64,62.102401192392996,81.199794235927,0.451153518713,401.538318795144
