thread,ext4,f2fs,ufs,sys
1,0.158316024115,0.191606853394,0.133077466923,0.7516035
2,0.300628413483,0.34837561161700004,0.159400242099,1.4148945
4,0.5946281503540001,0.647601284841,0.158708108005,2.8019709
8,1.067402199242,0.9772926062930001,0.159181157363,5.1205554
16,1.36708690294,0.864265134937,0.158185754343,9.4429712
24,1.319300731262,0.8740296298470001,0.151027244197,13.4136009
32,1.306918597159,1.0416770512240001,0.144574855774,16.2020133
48,1.2784183333030001,0.931212511927,0.128157190496,14.4552411
56,1.2553863696049998,0.996088972268,0.126555794712,14.5324332
64,1.227823315829,0.982421161122,0.12145669201100001,14.6534175
