thread,ext4,f2fs,ufs,sys
1,0.6150180009530001,0.743528769414,0.260337339663,1.425002485000
2,1.199327961142,1.449878115158,0.408754801479,2.784848686061
4,2.385951235122,2.867221842528,0.463170058928,5.588810714965
8,4.711042200155,5.607722304169,0.477931632188,11.147989082292
16,9.328545011492,11.231913085802,0.484159451827,22.220593068377
24,13.678198930221,16.490369947692,0.467185203229,33.478215219384
32,18.437401424742,21.758979464963,0.49451612941499995,45.308771717302
48,27.197798519229,32.246415992458,0.502134977796,67.076410552341
56,31.578865555011998,37.363839436279996,0.511064645931,78.502091365872
64,35.95331596234,33.368450777627,0.505936170591,90.787066652964
