thread,ext4,f2fs,ufs,sys
1,0.065396064726,0.051257447707,0.013483506028,0.4817313
2,0.064797860406,0.048072254521,0.013495991690,0.8341209
4,0.06535634122799999,0.044523275376999995,0.013500793868,1.4247864
8,0.066944631023,0.044816535606999996,0.013466163112000001,2.2548636
16,0.063191512445,0.045415645253,0.013439806025,2.8041932
24,0.062164614507,0.045576095842,0.013403322410000001,2.6937531
32,0.06051994309,0.041505546474,0.013384519045,2.8263429
48,0.058769579599999996,0.045214429786,0.013344173587,2.6703216
56,0.060361756557,0.045386771558,0.013333204758,2.9403828
64,0.058971718233,0.045586847983,0.013329122473,3.1199463
