threads,ext4,f2fs,ufs,aeofs
1,5.7418,5.7357,6.81,8.633526
2,7.192,7.2017,13.616,17.245448
4,7.1766,7.1997,26.48,32.495424
8,7.1669,7.169,47.1,61.835756
16,7.141,7.1659,49.49,72.041249
32,7.0568,7.1189,48.11,73.975066
64,7.0708,7.1167,47.07,105.815415
