threads,ext4,f2fs,ufs,aeofs
1,0.4438,0.4342,1.407,5.572891
2,0.8727,0.8254,2.829,10.734304
4,1.6337,1.5843,5.694,21.139919
8,3.2468,3.1922,10.131,39.930814
16,5.9751,5.7811,14.847,65.368425
32,6.2429,6.2429,17.231,71.324413
64,6.2435,6.2336,16.591,114.163908
