threads,ext4,f2fs,ufs,aeofs
1,3.9219,3.5876,3.449,5.644542
2,4.5489,4.5633,6.788,11.107036
4,4.5926,4.2225,12.795,20.455016
8,4.6251,3.5551,21.035,28.662682
16,4.6535,2.7617,25.028,31.166134
32,4.7447,2.1267,24.172,51.392297
64,4.8844,1.9869,23.723,92.113726
