threads,ext4,f2fs,ufs,aeofs
1,0.3894,0.3983,1.011,4.046146
2,0.7601,0.7659,2.086,9.129082
4,1.4407,1.4871,4.174,13.619769
8,2.7321,2.7036,7.131,22.801262
16,4.0522,3.6394,10.523,31.779409
32,4.6363,3.394,12.41,54.221108
64,4.7681,3.1552,10.853,91.063638
