iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999,psync_bg,io_uring_bg,iou_poll_bg,spdk_bg,aeolia_bg
randread,1,4K,1,366.389,299.504,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b16c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a674d60>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7560>, {})",91.597340266,74.87613715900001,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1620>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a674cc0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7100>, {})",10.571981057,12.98036902,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b11c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a674ae0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7060>, {})",8.096,8.256,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1120>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a674a40>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6fc0>, {})",9.152,10.048,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1080>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6745e0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6f20>, {})",17.024,2506.752,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0fe0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a674540>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6e80>, {})",1503.7570047446297,1630.8728211646599,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1760>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a674f40>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7600>, {})"
randread,1,4K,2,492.166,432.707,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0720>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6763e0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a67a0>, {})",123.04169583,108.176782322,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0680>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676480>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6700>, {})",15.890759075,18.040158747,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b05e0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676a20>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6660>, {})",10.304,11.072,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b2fc0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676ac0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a65c0>, {})",15.296,16.192,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b2f20>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a677420>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6520>, {})",2899.968,4079.616,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b2e80>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6776a0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6480>, {})",1187.5244339367505,1391.5045350172084,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b07c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6759e0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6c00>, {})"
randread,1,4K,4,460.84,526.35,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b25c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6760c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a5bc0>, {})",115.21007899199999,131.587564974,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b2520>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676160>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7c40>, {})",32.45912618,29.99539705,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1ee0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676b60>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7ba0>, {})",10.304,22.912,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1e40>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676de0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7b00>, {})",226.304,36.608,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1da0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676e80>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a74c0>, {})",6062.08,4227.072,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1d00>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a675a80>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7420>, {})",1420.6430555336337,836.369639573744,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b2660>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676020>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a5c60>, {})"
randread,1,4K,8,509.486,590.095,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1440>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676ca0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6b60>, {})",127.371688493,147.523833317,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b13a0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676d40>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6ac0>, {})",60.863186795000004,53.737321644000005,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1300>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a677560>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6a20>, {})",12.736,46.848,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b1260>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676f20>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6980>, {})",514.048,75.264,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0e00>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a674900>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a68e0>, {})",6193.152,3915.776,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0d60>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6749a0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6840>, {})",1187.037986594405,609.8829087875416,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b14e0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676c00>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a71a0>, {})"
randread,1,4K,12,537.792,616.123,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0a40>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a675d00>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6160>, {})",134.44813112100002,154.03078768499998,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b09a0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a675da0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a60c0>, {})",87.486177841,77.443002291,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0900>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676660>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6020>, {})",14.272,71.168,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0540>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a676700>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a5f80>, {})",798.72,110.08,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b04a0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6777e0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a5ee0>, {})",6324.224,4014.08,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0400>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a7f60>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a5b20>, {})",1050.6998321056267,587.4449397821542,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6b0ae0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6756c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7f071a6a6200>, {})"
