iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999
randread,1,4K,1,2539.5649999999996,7195.957,7195.446,7195.497,6939.351000000001,70.562857143,7.512857143,7.670857143,7.585285713999999,35.510498500000004,13.826788717,132.585123484,129.790991917,131.31506712200002,27.932075902,12.992,132.096,132.096,132.096,27.264,20.096,146.432,146.432,148.48,35.072,24.192,154.624,154.624,158.72,38.144
randread,1,4K,2,2746.5589999999997,7189.728999999999,7187.737999999999,7191.707,6949.508,137.347093272,14.880302814,15.246250536,15.153,69.485073561,14.214857396,133.797610231,130.6671561,131.380114536,28.438499173,13.504,134.144,134.144,134.144,27.52,20.864,148.48,146.432,148.48,35.584,24.448,156.672,154.624,158.72,38.656
randread,1,4K,4,2803.966,7180.175,4899.443,5097.105,6949.9839999999995,251.506213398,29.472075418,235.889158692,365.323953721,133.672854491,15.551579956,135.158188127,16.583752213,10.388648843,29.570596138,9.408,134.144,7.712,4.96,28.8,31.616,148.48,144.384,134.144,36.608,34.56,158.72,160.768,146.432,40.192
randread,1,4K,8,3035.763,7160.516,4032.42,4455.12,6952.272000000001,383.63690901300004,58.648621625,316.610968295,508.234899329,248.26749500100001,20.379181858,135.82392096200002,24.468163044,14.857626937000001,31.865849366,19.584,138.24,7.648,4.832,31.36,46.848,152.576,142.336,134.144,38.656,59.136,160.768,4145.152,4014.08,43.264
randread,1,4K,12,3152.95,7144.795999999999,3553.884,4100.074,6930.256,476.15654906400005,87.534495072,363.142755175,569.7751605999999,176.224411135,24.650375375,136.41365091600002,31.819421565,19.624703919999998,67.457617745,22.656,140.288,7.584,4.832,29.568,63.232,154.624,136.192,134.144,38.656,85.504,164.864,8093.696,8028.16,8028.16
