iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999
randread,1,4K,1,2167.3559999999998,7193.234,4283.633,4104.838,7191.577,60.271389801,7.3828024569999995,80.967576061,105.022282531,7.471361234,16.23942231,134.846082942,11.955595258999999,8.845896911,133.46865069700002,14.912,134.144,5.408,4.256,132.096,26.24,150.528,148.48,4.448,146.432,30.592,168.96,171.008,4014.08,154.624
randread,1,4K,2,1795.586,7183.043,3149.578,3024.2219999999998,7187.878000000001,120.655620626,14.749035852,111.19382945299999,141.924153692,14.863162404999999,16.221254869,134.944652569,17.332904121,13.090449914999999,134.199296136,14.4,134.144,5.344,4.256,136.192,27.008,152.576,152.576,4.448,148.48,34.56,175.104,3653.632,8028.16,156.672
randread,1,4K,4,1990.7400000000002,7146.333,2210.596,2167.428,7159.964,148.265390658,29.543208113000002,134.663097787,171.586506918,29.790172832,26.510100106000003,134.559684265,28.163049806,21.616259262,133.92061768,24.704,136.192,5.344,4.256,138.24,50.944,158.72,142.336,4.448,152.576,60.16,183.296,11468.8,16056.32,162.816
randread,1,4K,8,1598.44,7060.5160000000005,1122.41,1586.4,7014.326999999999,180.176403371,55.46936152,162.17891282600002,191.68451787499998,60.948293101000004,43.53773802,143.362846377,46.021331941,38.886656167,130.883235895,38.144,142.336,5.344,4.256,138.24,99.84,218.112,5.536,4.512,160.768,142.336,261.12,28180.48,32112.64,177.152
randread,1,4K,12,1293.319,3856.102,1134.146,1355.694,6596.817,182.380802742,118.800028567,163.932015361,198.306871532,95.227538923,64.903917949,100.32058472899999,68.266996597,55.149073686,125.61776341100001,59.136,78.336,5.344,4.32,140.288,142.336,309.248,5.536,4.512,173.056,216.064,440.32,44302.336,47972.352,191.488
