iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999,psync_bg,io_uring_bg,iou_poll_bg,spdk_bg,aeolia_bg
randread,1,4K,1,465.496,450.546,694.928,831.2,532.646,116.374162584,112.636736326,173.7322,207.80020000000002,133.1616,8.248282741999999,8.507893539000001,5.413252383,4.506707877,7.1794288470000005,8.256,8.512,5.344,4.448,7.136,8.64,9.408,5.472,4.704,7.392,13.376,13.632,10.176,9.792,11.328,3664.722628825891,3655.7502116459714,3649.354948872275,3642.512842531184,3644.127480655117
randread,1,4K,2,892.14,888.796,1190.86,1608.68,1025.129,223.0351,222.199080092,297.715028497,402.1701,256.282371763,8.623884582,8.623271224,6.384203962,4.617586251,7.473648753,8.64,8.512,6.24,4.576,7.456,10.176,9.92,7.456,5.408,7.968,13.632,13.632,11.712,10.304,12.48,3657.310275520948,3655.0802455924354,3638.437049755447,3642.474250511464,3641.220454883435
randread,1,4K,4,1681.523,1609.697,1816.969,2653.924,1760.827,420.380961904,402.424315137,454.242275772,663.4812,440.206779322,9.162208098999999,9.561069431,8.395933776,5.564489372,8.743149116,8.64,8.64,7.328,4.832,8.096,10.944,10.944,9.408,6.752,13.888,14.272,14.528,14.272,11.072,16.512,3658.539755300333,3658.0116859507993,1817.1002386536618,1814.5700888114468,3636.8652909606517
randread,1,4K,8,2505.514,2512.115,1881.172,2799.312,2420.848,626.378662134,628.0289942009999,470.293212036,699.828217178,605.212178782,12.356869008,12.000597105999999,16.27916536,10.514644889,12.329893985999998,10.944,9.792,7.456,4.768,12.48,16.192,19.072,9.536,6.88,24.448,25.728,28.544,4014.08,4014.08,34.048,3653.815848309858,3657.424766627171,1211.1649300241993,1818.5379788914001,3638.1274490959295
randread,1,4K,12,2830.978,2478.262,1916.526,2936.378,2424.109,707.74455109,619.565743426,479.131621027,734.094705295,606.02739726,15.987434338,18.502081154,23.881635992,14.99375318,19.099926605,13.888,16.512,7.456,4.704,19.072,36.096,29.824,9.536,6.816,33.024,112.128,374.784,8028.16,8028.16,43.776,3644.140145174662,3481.0552692418523,1211.4228840374833,1819.0618311290482,3637.3692920574163
