iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999,psync_bg,io_uring_bg,iou_poll_bg,spdk_bg,aeolia_bg
randread,1,4K,1,366.389,299.504,347.404,414.457,412.025,91.597340266,74.87613715900001,86.8511,103.614277145,103.0063,10.571981057,12.98036902,10.800496457,9.031996753,9.379037480000001,8.096,8.256,5.408,4.448,7.136,9.152,10.048,5.6,4.704,8.384,17.024,2506.752,4014.08,4014.08,13.76,2171.454167259019,2122.3653823879617,1823.9931561291949,1819.0056614941377,1565.3047325540044
randread,1,4K,2,492.166,432.707,463.329,553.257,543.364,123.04169583,108.176782322,115.832250325,138.314479864,135.84121587799999,15.890759075,18.040158747,16.179330606,13.41317374,14.326458081,10.304,11.072,5.408,4.448,9.024,15.296,16.192,5.6,4.704,15.04,2899.968,4079.616,8028.16,8028.16,2605.056,1444.0090773870797,1494.3987978408109,1214.302274384862,1212.4552039812363,1202.2517224862966
randread,1,4K,4,460.84,526.35,556.729,664.24,529.289,115.21007899199999,131.587564974,139.182363527,166.060163902,132.322267773,32.45912618,29.99539705,26.842543908,22.375517655,28.263471651,10.304,22.912,5.344,4.448,8.896,226.304,36.608,5.6,4.704,205.824,6062.08,4227.072,16056.32,16056.32,4751.36,1109.141034381779,856.050569369114,726.6526524459696,725.636914768409,1400.1463871463993
randread,1,4K,8,509.486,590.095,618.126,735.762,585.647,127.371688493,147.523833317,154.53168978899998,183.94073630600002,146.411858814,60.863186795000004,53.737321644000005,49.110378392,40.379311706,52.882339038,12.736,46.848,5.344,4.512,9.152,514.048,75.264,5.6,4.768,823.296,6193.152,3915.776,32112.64,32112.64,5537.792,623.5178309383922,609.791615984623,604.565850841554,601.4481776523334,1171.4247483553413
randread,1,4K,12,537.792,616.123,646.695,768.216,644.184,134.44813112100002,154.03078768499998,161.673943381,192.054126794,161.046190762,87.486177841,77.443002291,69.866200826,58.107697719,73.066957762,14.272,71.168,5.344,4.512,15.04,798.72,110.08,5.6,4.768,913.408,6324.224,4014.08,47972.352,47972.352,5865.472,588.5474167433449,585.2913846301119,583.4186791390332,579.6857161902184,871.0280758893313
