iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999,psync_bg,io_uring_bg,iou_poll_bg,spdk_bg,aeolia_bg
randread,1,4K,1,381.056,403.816,694.928,831.2,532.646,95.2642,100.95410000000001,173.7322,207.80020000000002,133.1616,10.14973526,9.533907670000001,5.413252383,4.506707877,7.1794288470000005,9.28,9.536,5.344,4.448,7.136,11.2,11.2,5.472,4.704,7.392,15.04,14.4,10.176,9.792,11.328,3632.5416109786606,3650.8065965659316,3649.354948872275,3642.512842531184,3644.127480655117
randread,1,4K,2,780.684,801.058,1190.86,1608.68,1025.129,195.17118288199998,200.264673533,297.715028497,402.1701,256.282371763,9.895870628,9.615149318,6.384203962,4.617586251,7.473648753,9.28,9.536,6.24,4.576,7.456,11.328,11.2,7.456,5.408,7.968,15.04,14.784,11.712,10.304,12.48,3633.550189907242,3642.5137915255773,3638.437049755447,3642.474250511464,3641.220454883435
randread,1,4K,4,1381.684,1332.14,1816.969,2653.924,1760.827,345.421215757,333.03509649,454.242275772,663.4812,440.206779322,11.231083080000001,11.632222211,8.395933776,5.564489372,8.743149116,10.176,10.304,7.328,4.832,8.096,12.352,12.736,9.408,6.752,13.888,17.024,18.048,14.272,11.072,16.512,3630.067066556705,3644.556223588875,1817.1002386536618,1814.5700888114468,3636.8652909606517
randread,1,4K,8,2122.52,1911.114,1881.172,2799.312,2420.848,530.630036996,477.778644271,470.293212036,699.828217178,605.212178782,14.674959097999999,16.291570025000002,16.27916536,10.514644889,12.329893985999998,12.992,14.144,7.456,4.768,12.48,25.472,28.288,9.536,6.88,24.448,36.096,40.704,91.056,91.056,34.048,3628.094187979094,3630.410490554606,1211.1649300241993,1818.5379788914001,3638.1274490959295
randread,1,4K,12,2242.343,1988.065,1916.526,2936.378,2424.109,560.5859414060001,497.01639836,479.131621027,734.094705295,606.02739726,20.956840519,23.630698859,23.881635992,14.99375318,19.099926605,18.816,22.4,7.456,4.704,19.072,36.096,39.68,9.536,6.816,33.024,54.016,61.184,122.112,122.112,43.776,3627.7461816933187,3626.4225479002816,1211.4228840374833,1819.0618311290482,3637.3692920574163
