threads,ext4,f2fs,ufs,aeofs
1,16792,14659,,25738
2,34225,35554,,49915
4,54109,57475,,97560
8,102408,102381,,179589
16,149780,135718,,182438
32,126454,138053,,167028
64,103446,148612,,217390
