threads,ext4,f2fs,ufs,aeofs
1,34040,34246,,43417
2,68924,66868,,90597
4,123708,120699,,216379
8,276099,210301,,458832
16,401421,258659,,642864
32,382966,258489,,659906
64,393711,259749,,598840
