threads,ext4,f2fs,ufs,aeofs
1,9649,11147,,16814
2,20317,22351,,34587
4,35747,35064,,66103
8,66649,50302,,113933
16,125533,46427,,172152
32,217205,47976,,314413
64,271259,48459,,301726
